filename,label_id,label_text,confidence,all_scores
lat41.404131_lon2.189082_hdg270.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.7685493230819702,"[0.15403680503368378, 0.07672849297523499, 0.0006854337407276034, 0.7685493230819702]"
lat41.398731_lon2.193166_hdg270.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.4709254503250122,"[0.320687860250473, 0.4709254503250122, 0.001666965545155108, 0.206719771027565]"
lat41.401179_lon2.197307_hdg270.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.5462865233421326,"[0.3907046318054199, 0.5462865233421326, 0.0012789330212399364, 0.06172984838485718]"
lat41.398160_lon2.196043_hdg270.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.43565139174461365,"[0.37033313512802124, 0.18799419701099396, 0.006021260749548674, 0.43565139174461365]"
lat41.399851_lon2.189939_hdg270.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.9351848363876343,"[0.017596445977687836, 0.9351848363876343, 0.0005530510097742081, 0.04666564241051674]"
lat41.399876_lon2.193808_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.527391791343689,"[0.527391791343689, 0.3935198187828064, 0.0037920584436506033, 0.07529633492231369]"
lat41.397945_lon2.178221_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.8797606825828552,"[0.8797606825828552, 0.11419413238763809, 0.0008006190764717758, 0.005244515836238861]"
lat41.402852_lon2.187938_hdg90.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.7251405715942383,"[0.14828282594680786, 0.12327359616756439, 0.0033030048944056034, 0.7251405715942383]"
lat41.397594_lon2.188370_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.5268597602844238,"[0.5268597602844238, 0.4485760033130646, 0.006768194492906332, 0.017796004191040993]"
lat41.400116_lon2.184940_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.5910462141036987,"[0.5910462141036987, 0.22060690820217133, 0.0051599228754639626, 0.18318700790405273]"
lat41.398920_lon2.181510_hdg270.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.9722947478294373,"[0.01818903721868992, 0.003045177087187767, 0.006470970343798399, 0.9722947478294373]"
lat41.402959_lon2.185271_hdg90.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.8313359022140503,"[0.036114923655986786, 0.13250844180583954, 4.076606273883954e-05, 0.8313359022140503]"
lat41.404184_lon2.197326_hdg270.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.45033109188079834,"[0.2378665655851364, 0.3101045489311218, 0.0016977667110040784, 0.45033109188079834]"
lat41.401408_lon2.178406_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.6450170278549194,"[0.6450170278549194, 0.06588748842477798, 0.0007398905581794679, 0.28835558891296387]"
lat41.405123_lon2.193628_hdg90.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.7179401516914368,"[0.1698654443025589, 0.10554913431406021, 0.006645213812589645, 0.7179401516914368]"
lat41.398240_lon2.184831_hdg90.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.7921382784843445,"[0.14575593173503876, 0.7921382784843445, 0.0017914767377078533, 0.060314301401376724]"
lat41.405328_lon2.178009_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.6106454133987427,"[0.6106454133987427, 0.17547082901000977, 0.005823102779686451, 0.20806065201759338]"
lat41.399052_lon2.188156_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.8424767255783081,"[0.8424767255783081, 0.14796046912670135, 0.0019241981208324432, 0.00763869471848011]"
lat41.398228_lon2.191574_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.633289635181427,"[0.633289635181427, 0.3212295174598694, 0.0012921799207106233, 0.044188715517520905]"
lat41.400038_lon2.182467_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.9090676307678223,"[0.9090676307678223, 0.05349953472614288, 0.0008731922716833651, 0.036559585481882095]"
lat41.403935_lon2.181254_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.3960694968700409,"[0.3960694968700409, 0.167084738612175, 0.07452436536550522, 0.3623214364051819]"
lat41.403165_lon2.191793_hdg270.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.6346184015274048,"[0.05568286031484604, 0.6346184015274048, 0.0012764116981998086, 0.308422327041626]"
lat41.404708_lon2.185860_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.8794897198677063,"[0.8794897198677063, 0.11499069631099701, 3.022251075890381e-05, 0.0054894424974918365]"
lat41.398304_lon2.182322_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.6887156367301941,"[0.6887156367301941, 0.09315776079893112, 0.01291106641292572, 0.20521551370620728]"
lat41.402070_lon2.179724_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.8765993714332581,"[0.8765993714332581, 0.1054140105843544, 0.0015260012587532401, 0.016460629180073738]"
lat41.398114_lon2.181463_hdg90.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.498881995677948,"[0.37559887766838074, 0.12208268791437149, 0.003436366794630885, 0.498881995677948]"
lat41.398353_lon2.187361_hdg270.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.531502366065979,"[0.1416982114315033, 0.32537156343460083, 0.001427854411303997, 0.531502366065979]"
lat41.406293_lon2.195699_hdg90.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.7589058876037598,"[0.22871004045009613, 0.7589058876037598, 0.0012373576173558831, 0.011146707460284233]"
lat41.404066_lon2.188290_hdg270.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.5001826286315918,"[0.314477801322937, 0.18173763155937195, 0.0036019552499055862, 0.5001826286315918]"
lat41.404029_lon2.179490_hdg90.jpg,1,"modern buildings with glass, metal, concrete or painted facade",0.594102144241333,"[0.04099586233496666, 0.594102144241333, 0.0025593838654458523, 0.36234262585639954]"
lat41.399902_lon2.196032_hdg270.jpg,0,historic or traditional European buildings made of brick or stone,0.9585573673248291,"[0.9585573673248291, 0.026207486167550087, 0.0027722560334950686, 0.012462886981666088]"
lat41.403326_lon2.202867_hdg90.jpg,0,historic or traditional European buildings made of brick or stone,0.804155170917511,"[0.804155170917511, 0.06322148442268372, 0.01261572539806366, 0.12000762671232224]"
lat41.405439_lon2.186758_hdg90.jpg,3,"an open public space such as a plaza, park, or square, with no visible buildings in the frame, featuring trees or sky",0.4802360534667969,"[0.47136983275413513, 0.03882679343223572, 0.00956730730831623, 0.4802360534667969]"
